winner,target,hand cards,used cards
AI-random,3,3 3 5 5 10 10 J J J Q Q Q K K K A A A, 6 6 6 6 4 8 8 8 8 7 7 
AI-random,7,5 5 10 10 Q Q Q K K K A A A, 6 6 6 6 4 8 8 8 8 7 7 3 4 5 6 7 
AI-random,7,5 5 6 6 7 7 9 9 9 10 10 J J Q Q A A, 8 9 10 J Q 3 10 5 5 5 5 
AI-origin,7,3 6 7 7 7 8 8 8 Q Q Q K K K 2 2 2, 6 6 6 6 7 7 4 
AI-origin,6,3 Q Q Q K K K 2 2 2, 6 6 6 6 7 7 4 J J J 5 5 9 9 9 3 3 5 
AI-origin,6,3 2 2 2, 6 6 6 6 7 7 4 J J J 5 5 9 9 9 3 3 5 7 7 7 8 8 8 
AI-origin,2,3, 6 6 6 6 7 7 4 J J J 5 5 9 9 9 3 3 5 7 7 7 8 8 8 Q Q Q K K K 
AI-origin,0,, 6 6 6 6 7 7 4 J J J 5 5 9 9 9 3 3 5 7 7 7 8 8 8 Q Q Q K K K 2 2 2 
AI-origin,7,4 4 5 5 9 9 10 10 J J Q Q Q Q K K K K A A, 4 
AI-origin,1,5 5 9 9 10 10 J J K K K K A A, 4 8 8 8 3 3 7 7 7 7 
AI-origin,1,9 9 10 10 A A, 4 8 8 8 3 3 7 7 7 7 4 4 2 2 9 9 9 9 
AI-origin,1,10 10 A A, 4 8 8 8 3 3 7 7 7 7 4 4 2 2 9 9 9 9 5 5 
AI-origin,1,A A, 4 8 8 8 3 3 7 7 7 7 4 4 2 2 9 9 9 9 5 5 9 9 
AI-origin,1,, 4 8 8 8 3 3 7 7 7 7 4 4 2 2 9 9 9 9 5 5 9 9 10 10 
AI-origin,3,3 4 4 6 6 6 8 8 8 8 10 10 10 10 Q A 2, K K K K 4 4 6 6 6 3 3 
AI-origin,7,3 8 8 8 8 10 10 10 10 Q A 2, K K K K 4 4 6 6 6 3 3 8 9 10 J Q 
AI-origin,0,8 8 8 8 10 10 10 10 Q A 2, K K K K 4 4 6 6 6 3 3 8 9 10 J Q 6 6 6 4 4 
AI-origin,0,8 8 8 8 10 10 10 10, K K K K 4 4 6 6 6 3 3 8 9 10 J Q 6 6 6 4 4 3 
AI-origin,5,10 10 10 10, K K K K 4 4 6 6 6 3 3 8 9 10 J Q 6 6 6 4 4 3 A 
AI-random,3,4 4 7 7 7 7 10 10 J J A, 7 8 9 10 J 3 3 3 4 4 8 8 
AI-random,1,7 7 7 7 10 10 J J A, 7 8 9 10 J 3 3 3 4 4 8 8 4 5 6 7 8 
AI-random,1,J J A, 7 8 9 10 J 3 3 3 4 4 8 8 4 5 6 7 8 4 4 
AI-random,7,4 5 6 8 8 9 9 10 10 J J J J Q Q A 2, K K K A A A 9 9 9 3 3 
AI-random,0,5 6 9 9 10 10 A 2, K K K A A A 9 9 9 3 3 7 7 7 3 3 7 7 
AI-random,0,6 9 9 10 10 2, K K K A A A 9 9 9 3 3 7 7 7 3 3 7 7 4 
AI-random,0,9 9 10 10, K K K A A A 9 9 9 3 3 7 7 7 3 3 7 7 4 5 
AI-origin,3,3 3 3 5 5 5 5 6 6 6 6 9 10 10 J Q K K K A A 2, 
AI-origin,3,3 3 3 5 5 5 5 6 6 6 6 9 10 10 K K A, 7 8 9 10 J 
AI-origin,2,5 5 5 5 6 6 6 6 9 10 10 K K A, 7 8 9 10 J J Q K A 2 
AI-origin,0,5 5 5 5 6 6 6 6 10 10 K K A, 7 8 9 10 J J Q K A 2 3 3 3 
AI-origin,5,6 6 6 6, 7 8 9 10 J J Q K A 2 3 3 3 9 5 5 4 4 4 3 3 7 8 9 10 J 6 
AI-origin,7,4 4 4 5 5 5 6 6 7 8 8 8 9 9 9 J J Q A 2 2 2, 
AI-origin,7,4 4 4 5 5 5 7 8 8 8 9 9 9 J J Q A, K K K 3 3 
AI-origin,6,7 8 8 8 9 9 9 J J Q A, K K K 3 3 2 2 2 6 6 
AI-origin,6,7 J J Q A, K K K 3 3 2 2 2 6 6 4 4 4 5 5 5 
AI-origin,0,J J A, K K K 3 3 2 2 2 6 6 4 4 4 5 5 5 8 8 8 9 9 9 4 4 4 J Q K A 2 6 6 6 8 8 8 A A A A 7 
AI-origin,1,, K K K 3 3 2 2 2 6 6 4 4 4 5 5 5 8 8 8 9 9 9 4 4 4 J Q K A 2 6 6 6 8 8 8 A A A A 7 7 
AI-origin,7,3 4 5 5 8 8 8 8 9 10 10 Q Q Q K K A, 5 6 7 8 9 K K K 4 4 
AI-origin,7,3 4 8 8 8 8 9 10 10 K K A, 5 6 7 8 9 K K K 4 4 7 7 7 3 3 
AI-origin,0,4 8 8 8 8 9 10 10 K K A, 5 6 7 8 9 K K K 4 4 7 7 7 3 3 Q Q Q 5 5 
AI-origin,0,8 8 8 8 10 10 K K A, 5 6 7 8 9 K K K 4 4 7 7 7 3 3 Q Q Q 5 5 3 
AI-origin,1,8 8 8 8 K K, 5 6 7 8 9 K K K 4 4 7 7 7 3 3 Q Q Q 5 5 3 4 
AI-random,7,3 4 6 7 7 7 8 8 8 9 9 10 J Q Q K K, J J J J 
AI-random,6,3 4 6 9 9 10 J Q Q K K, J J J J A A A 3 3 
AI-random,0,4 6 9 9 10 J Q Q K K, J J J J A A A 3 3 7 7 7 8 8 8 
AI-random,0,6 9 9 J Q Q K K, J J J J A A A 3 3 7 7 7 8 8 8 3 
AI-origin,3,3 3 4 4 4 5 5 6 8 10 10 J J J Q Q Q Q K A 2 2, 
AI-origin,7,5 5 8 10 10 J J J Q Q Q Q A 2 2, 5 6 7 8 9 A A A 3 3 3 
AI-origin,7,8 10 10 Q Q Q Q A 2 2, 5 6 7 8 9 A A A 3 3 3 4 4 4 3 3 
AI-origin,0,10 10 Q Q Q Q A 2 2, 5 6 7 8 9 A A A 3 3 3 4 4 4 3 3 J J J 5 5 
AI-origin,1,Q Q Q Q 2 2, 5 6 7 8 9 A A A 3 3 3 4 4 4 3 3 J J J 5 5 8 
AI-random,7,3 5 5 6 6 8 9 9 10 10 J J J Q Q Q Q K K K 2 2, 
AI-random,7,3 6 6 9 9 10 10 K K K 2 2, 7 7 7 3 3 A A A 6 6 8 9 10 J Q 5 5 5 5 5 4 
AI-random,7,3 9 9 10 10 2 2, 7 7 7 3 3 A A A 6 6 8 9 10 J Q 5 5 5 5 5 4 J J J 5 5 
AI-origin,7,4 4 4 4 5 6 7 8 8 8 8 10 10 J J J J Q Q K 2 2, 
AI-origin,0,4 4 4 4 6 7 8 8 8 8 J J J J K, 9 9 9 5 5 5 5 
AI-origin,0,4 4 4 4 J J J J, 9 9 9 5 5 5 5 5 6 6 6 6 3 
AI-origin,5,J J J J, 9 9 9 5 5 5 5 5 6 6 6 6 3 7 
AI-origin,5,, 9 9 9 5 5 5 5 5 6 6 6 6 3 7 4 4 4 4 
AI-random,7,3 4 4 5 5 6 6 7 7 9 J J J Q Q Q K K 2 2 2 2, 
AI-random,7,3 6 6 7 7 9 K K 2 2 2 2, 8 8 8 3 3 
AI-random,0,6 6 7 7 9 K K 2 2 2 2, 8 8 8 3 3 J J J 4 4 
AI-random,1,7 7 K K, 8 8 8 3 3 J J J 4 4 3 4 5 6 7 8 10 10 10 10 
AI-random,7,3 4 5 5 7 7 8 8 9 9 9 10 J J J J Q K A 2 2 2, 
AI-random,7,3 4 8 8 10 J J J J Q K A, 6 6 6 4 4 
AI-random,0,4 8 8 10 J J J J Q K A, 6 6 6 4 4 2 2 2 7 7 
AI-random,0,8 8 J J J J K A, 6 6 6 4 4 2 2 2 7 7 3 
AI-random,1,J J J J K A, 6 6 6 4 4 2 2 2 7 7 3 4 
AI-origin,3,3 3 4 6 6 6 6 7 8 8 8 9 9 9 9 10 10 10 10 K A A, 
AI-origin,7,4 6 6 6 6 7 9 9 9 9 10 10 10 10 K A A, J Q K A 2 
AI-origin,0,6 6 6 6 7 10 10 10 10 K A A, J Q K A 2 8 8 8 3 3 3 3 3 3 3 7 7 7 7 
AI-origin,1,10 10 10 10, J Q K A 2 8 8 8 3 3 3 3 3 3 3 7 7 7 7 4 8 9 10 J Q 
AI-origin,3,3 3 3 4 4 4 4 5 5 5 5 6 6 7 8 8 9 A A A 2 2, 
AI-origin,7,3 4 4 4 4 5 5 5 5 6 6 7 8 8 9 2 2, 9 10 J Q K 
AI-origin,0,4 4 4 4 5 5 5 5 6 6 7 8 8 9 2 2, 9 10 J Q K A A A 3 3 
AI-origin,1,4 4 4 4 5 5 5 5 8 8 2 2, 9 10 J Q K A A A 3 3 3 5 
AI-origin,5,5 5 5 5, 9 10 J Q K A A A 3 3 3 5 6 6 
AI-origin,7,4 4 4 4 4 7 7 7 8 8 10 10 J J J J Q K K A A 2, 
AI-origin,2,4 4 4 4 4 8 8 J J J J Q K K A A 2, 5 5 5 6 6 8 8 
AI-origin,1,4 4 4 4 4 J J J J Q K K A A 2, 5 5 5 6 6 8 8 7 7 7 
AI-origin,0,4 4 4 4 4 J J J J K K A A 2, 5 5 5 6 6 8 8 7 7 7 8 8 
AI-origin,0,4 4 4 4 4 J J J J K K A A, 5 5 5 6 6 8 8 7 7 7 8 8 Q 
AI-origin,1,4 4 4 4 4 J J J J A A, 5 5 5 6 6 8 8 7 7 7 8 8 Q 2 
AI-origin,1,4 4 4 4 4 J J J J, 5 5 5 6 6 8 8 7 7 7 8 8 Q 2 K K 
AI-origin,5,J J J J, 5 5 5 6 6 8 8 7 7 7 8 8 Q 2 K K A A 
AI-origin,5,, 5 5 5 6 6 8 8 7 7 7 8 8 Q 2 K K A A 4 4 4 4 4 
