winner,target,hand cards,used cards
AI-random,1,9 9 10 10 J J, 5 Q A 2 K K K 5 5 6 6 6 7 7 7 3 2 3 3 3 4 4 8 8 8 8 A A A A A 
AI-origin,3,3 3 4 4 4 4 5 6 7 8 9 10 J J Q Q K K K A, 4 4 4 7 7 7 7 K K 2 2 
AI-origin,3,3 3 5 J J Q Q K K K A, 4 4 4 7 7 7 7 K K 2 2 5 6 7 8 9 8 9 10 J Q A A 2 2 5 5 5 6 6 6 4 4 4 4 
AI-origin,7,5 J J Q Q A, 4 4 4 7 7 7 7 K K 2 2 5 6 7 8 9 8 9 10 J Q A A 2 2 5 5 5 6 6 6 4 4 4 4 6 7 8 9 10 
AI-origin,0,J J Q Q A, 4 4 4 7 7 7 7 K K 2 2 5 6 7 8 9 8 9 10 J Q A A 2 2 5 5 5 6 6 6 4 4 4 4 6 7 8 9 10 K K K 3 3 
AI-origin,1,Q Q, 4 4 4 7 7 7 7 K K 2 2 5 6 7 8 9 8 9 10 J Q A A 2 2 5 5 5 6 6 6 4 4 4 4 6 7 8 9 10 K K K 3 3 5 10 A 
AI-origin,1,, 4 4 4 7 7 7 7 K K 2 2 5 6 7 8 9 8 9 10 J Q A A 2 2 5 5 5 6 6 6 4 4 4 4 6 7 8 9 10 K K K 3 3 5 10 A J J 
AI-origin,7,4 4 4 5 5 5 6 6 10 10 J J J K A 2 2 2, 7 7 7 7 9 9 9 9 
AI-origin,6,6 6 10 10 J J J K A 2 2 2, 7 7 7 7 9 9 9 9 7 7 7 3 3 
AI-origin,2,6 6 10 10 A 2 2 2, 7 7 7 7 9 9 9 9 7 7 7 3 3 4 4 4 5 5 5 Q Q Q K K K 4 4 4 3 3 3 K 
AI-origin,7,10 10 A, 7 7 7 7 9 9 9 9 7 7 7 3 3 4 4 4 5 5 5 Q Q Q K K K 4 4 4 3 3 3 K J J J 
AI-origin,1,A, 7 7 7 7 9 9 9 9 7 7 7 3 3 4 4 4 5 5 5 Q Q Q K K K 4 4 4 3 3 3 K J J J 2 2 2 6 6 
AI-origin,0,5 6 6 6 6 7 8 8 8 8 10 10 Q K K K K, 10 10 J J Q Q A A 2 2 J J J 4 4 2 2 2 4 4 
AI-origin,0,6 6 6 6 7 8 8 8 8 10 10 Q K K K K, 10 10 J J Q Q A A 2 2 J J J 4 4 2 2 2 4 4 4 
AI-origin,0,6 6 6 6 8 8 8 8 10 10 Q K K K K, 10 10 J J Q Q A A 2 2 J J J 4 4 2 2 2 4 4 4 5 
AI-origin,1,6 6 6 6 8 8 8 8 Q K K K K, 10 10 J J Q Q A A 2 2 J J J 4 4 2 2 2 4 4 4 5 7 
AI-origin,0,8 8 8 8 K K K K, 10 10 J J Q Q A A 2 2 J J J 4 4 2 2 2 4 4 4 5 7 10 10 K K 5 6 7 8 9 A A A 6 6 6 6 
AI-origin,5,K K K K, 10 10 J J Q Q A A 2 2 J J J 4 4 2 2 2 4 4 4 5 7 10 10 K K 5 6 7 8 9 A A A 6 6 6 6 Q 
AI-origin,5,, 10 10 J J Q Q A A 2 2 J J J 4 4 2 2 2 4 4 4 5 7 10 10 K K 5 6 7 8 9 A A A 6 6 6 6 Q 8 8 8 8 
AI-origin,3,3 6 6 7 7 9 9 9 10 10 10 J J J Q Q Q K K A A 2, 
AI-origin,6,3 6 6 7 7 J J J Q Q Q K K A A 2, 4 5 6 7 8 
AI-origin,6,3 6 6 7 7 K K A A 2, 4 5 6 7 8 9 9 9 10 10 10 
AI-origin,0,6 6 7 7 K K A A 2, 4 5 6 7 8 9 9 9 10 10 10 J J J Q Q Q 
AI-origin,1,7 7 K K A A, 4 5 6 7 8 9 9 9 10 10 10 J J J Q Q Q 3 6 2 
AI-origin,1,, 4 5 6 7 8 9 9 9 10 10 10 J J J Q Q Q 3 6 2 6 6 8 8 K K 2 2 2 2 4 4 4 3 3 9 K K K 5 5 A A A 7 7 10 10 A A 
AI-origin,7,5 5 7 7 7 7 7 8 8 9 9 9 9 J, 9 10 K 10 10 Q Q A A 7 8 9 10 J 4 4 4 5 5 5 Q Q Q 3 3 K K K 4 4 
AI-origin,1,7 7 7 7 7 8 8 9 9 9 9 J, 9 10 K 10 10 Q Q A A 7 8 9 10 J 4 4 4 5 5 5 Q Q Q 3 3 K K K 4 4 6 6 6 3 3 
AI-origin,1,9 9 9 9 J, 9 10 K 10 10 Q Q A A 7 8 9 10 J 4 4 4 5 5 5 Q Q Q 3 3 K K K 4 4 6 6 6 3 3 5 5 8 8 7 7 7 7 7 
AI-origin,0,, 9 10 K 10 10 Q Q A A 7 8 9 10 J 4 4 4 5 5 5 Q Q Q 3 3 K K K 4 4 6 6 6 3 3 5 5 8 8 7 7 7 7 7 8 8 2 2 9 9 9 9 
AI-origin,3,3 3 4 4 4 4 6 7 7 7 9 9 10 10 K K K K 2 2 2 2, 
AI-origin,7,4 4 4 4 6 9 9 10 10 2 2 2 2, 8 9 10 J Q 9 10 J Q K Q Q 6 6 6 6 K K K K 
AI-origin,0,9 9 10 10 2 2 2 2, 8 9 10 J Q 9 10 J Q K Q Q 6 6 6 6 K K K K 7 7 7 3 3 8 8 8 3 3 5 5 5 3 3 4 4 4 4 
AI-origin,1,10 10, 8 9 10 J Q 9 10 J Q K Q Q 6 6 6 6 K K K K 7 7 7 3 3 8 8 8 3 3 5 5 5 3 3 4 4 4 4 6 K 2 2 2 2 
AI-random,7,3 5 5 6 6 7 7 8 8 Q Q Q A A 2 2, 8 8 9 9 Q Q K K 2 2 A A A 4 4 7 7 7 7 9 9 10 10 
AI-random,7,3 6 6 7 7 8 8 A A 2 2, 8 8 9 9 Q Q K K 2 2 A A A 4 4 7 7 7 7 9 9 10 10 4 4 4 3 3 
AI-random,0,6 6 7 7 8 8 A A 2 2, 8 8 9 9 Q Q K K 2 2 A A A 4 4 7 7 7 7 9 9 10 10 4 4 4 3 3 Q Q Q 5 5 
AI-origin,3,3 3 3 3 5 5 5 6 6 7 7 Q Q Q 2 2 2, 5 5 5 6 6 6 3 9 10 10 J Q K A 4 7 7 K K 2 2 9 9 A A 
AI-origin,7,3 3 6 6 7 7 Q Q Q 2 2 2, 5 5 5 6 6 6 3 9 10 10 J Q K A 4 7 7 K K 2 2 9 9 A A 7 8 9 10 J 
AI-origin,7,7 7, 5 5 5 6 6 6 3 9 10 10 J Q K A 4 7 7 K K 2 2 9 9 A A 7 8 9 10 J 5 5 5 3 3 8 8 8 3 3 Q Q Q 3 3 
AI-origin,1,, 5 5 5 6 6 6 3 9 10 10 J Q K A 4 7 7 K K 2 2 9 9 A A 7 8 9 10 J 5 5 5 3 3 8 8 8 3 3 Q Q Q 3 3 2 2 2 6 6 
AI-origin,0,3 3 5 5 6 6 7 7 9 9 9 9 9 K K K K A A 2 2, 5 J J J 3 3 Q Q Q K K K 6 7 8 9 10 8 9 10 J Q 
AI-origin,1,5 5 6 6 7 7 9 9 9 9 9 K K K K 2 2, 5 J J J 3 3 Q Q Q K K K 6 7 8 9 10 8 9 10 J Q 4 9 7 7 A A 
AI-origin,1,6 6 7 7 9 9 9 9 9 K K K K, 5 J J J 3 3 Q Q Q K K K 6 7 8 9 10 8 9 10 J Q 4 9 7 7 A A 3 3 A A 2 2 
AI-origin,1,7 7 9 9 9 9 9 K K K K, 5 J J J 3 3 Q Q Q K K K 6 7 8 9 10 8 9 10 J Q 4 9 7 7 A A 3 3 A A 2 2 5 5 
AI-origin,1,9 9 9 9 9 K K K K, 5 J J J 3 3 Q Q Q K K K 6 7 8 9 10 8 9 10 J Q 4 9 7 7 A A 3 3 A A 2 2 5 5 6 6 
AI-origin,5,K K K K, 5 J J J 3 3 Q Q Q K K K 6 7 8 9 10 8 9 10 J Q 4 9 7 7 A A 3 3 A A 2 2 5 5 6 6 7 7 
AI-origin,5,, 5 J J J 3 3 Q Q Q K K K 6 7 8 9 10 8 9 10 J Q 4 9 7 7 A A 3 3 A A 2 2 5 5 6 6 7 7 9 9 9 9 9 
AI-origin,7,7 7 9 9 9 10 J J Q Q K A A A 2 2 2, Q Q A A 9 9 9 9 8 8 8 8 8 
AI-origin,0,J J Q Q K, Q Q A A 9 9 9 9 8 8 8 8 8 4 4 4 3 3 6 6 6 4 4 9 9 9 7 7 K K K 7 7 10 10 10 J J J A A A 2 2 2 
AI-origin,0,J J Q Q, Q Q A A 9 9 9 9 8 8 8 8 8 4 4 4 3 3 6 6 6 4 4 9 9 9 7 7 K K K 7 7 10 10 10 J J J A A A 2 2 2 10 
AI-origin,1,Q Q, Q Q A A 9 9 9 9 8 8 8 8 8 4 4 4 3 3 6 6 6 4 4 9 9 9 7 7 K K K 7 7 10 10 10 J J J A A A 2 2 2 10 K 
AI-origin,1,, Q Q A A 9 9 9 9 8 8 8 8 8 4 4 4 3 3 6 6 6 4 4 9 9 9 7 7 K K K 7 7 10 10 10 J J J A A A 2 2 2 10 K J J 
AI-origin,6,5 5 5 6 6 6 7 7 7 8 8 8 9 10 Q Q K K K A 2, 
AI-origin,6,7 7 7 8 8 8 9 10 Q Q K K K A 2, 3 3 3 4 4 4 
AI-origin,6,9 10 Q Q K K K A 2, 3 3 3 4 4 4 5 5 5 6 6 6 
AI-origin,2,9 10 Q Q A 2, 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 
AI-origin,0,Q Q 2, 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 K K K 10 10 10 10 8 9 K A 
AI-origin,0,Q Q, 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 K K K 10 10 10 10 8 9 K A 10 
AI-origin,1,, 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 K K K 10 10 10 10 8 9 K A 10 2 
AI-origin,6,3 5 7 8 8 8 9 9 10 A A A A A 2 2 2, 7 8 9 10 J 6 6 6 6 K K K K 
AI-origin,2,3 5 7 9 9 10 A A A A A 2 2 2, 7 8 9 10 J 6 6 6 6 K K K K J J J Q Q Q 
AI-origin,2,3 5 7 9 9 10 A A A A A, 7 8 9 10 J 6 6 6 6 K K K K J J J Q Q Q 8 8 8 
AI-origin,0,5 7 9 9 10 A A A A A, 7 8 9 10 J 6 6 6 6 K K K K J J J Q Q Q 8 8 8 2 2 2 
AI-origin,0,7 9 9 A A A A A, 7 8 9 10 J 6 6 6 6 K K K K J J J Q Q Q 8 8 8 2 2 2 3 7 10 
AI-origin,0,9 9 A A A A A, 7 8 9 10 J 6 6 6 6 K K K K J J J Q Q Q 8 8 8 2 2 2 3 7 10 5 
AI-origin,1,, 7 8 9 10 J 6 6 6 6 K K K K J J J Q Q Q 8 8 8 2 2 2 3 7 10 5 7 9 9 9 9 A A A A A 
AI-origin,3,3 3 3 7 7 8 8 8 8 9 10 10 10 J J J Q Q K 2 2 2, 
AI-origin,7,3 7 7 8 8 8 8 9 10 10 10 J J J Q Q K, 5 6 7 8 9 
AI-origin,6,3 7 7 8 8 8 8 9 Q Q K, 5 6 7 8 9 2 2 2 3 3 
AI-origin,0,7 7 8 8 8 8 9 Q Q K, 5 6 7 8 9 2 2 2 3 3 10 10 10 J J J 
AI-origin,1,8 8 8 8 Q Q, 5 6 7 8 9 2 2 2 3 3 10 10 10 J J J 3 4 9 J K 
AI-origin,2,4 4 4 4 6 8 8 9 J J K K K K A A A A A, 6 6 6 5 5 10 10 10 3 3 
AI-origin,0,4 4 4 4 8 8 9 J J K K K K A A A A A, 6 6 6 5 5 10 10 10 3 3 2 2 2 
AI-origin,0,8 8 J J K K K K A A A A A, 6 6 6 5 5 10 10 10 3 3 2 2 2 6 Q 8 8 8 7 7 3 3 3 3 4 4 4 4 
AI-origin,1,J J A A A A A, 6 6 6 5 5 10 10 10 3 3 2 2 2 6 Q 8 8 8 7 7 3 3 3 3 4 4 4 4 9 2 9 10 J Q K K K K K 
AI-origin,1,A A A A A, 6 6 6 5 5 10 10 10 3 3 2 2 2 6 Q 8 8 8 7 7 3 3 3 3 4 4 4 4 9 2 9 10 J Q K K K K K 8 8 
AI-origin,5,, 6 6 6 5 5 10 10 10 3 3 2 2 2 6 Q 8 8 8 7 7 3 3 3 3 4 4 4 4 9 2 9 10 J Q K K K K K 8 8 J J 
AI-random,3,3 4 4 4 5 6 6 7 7 7 7 8 8 9 10 10 J J K K 2 2, 
AI-random,7,3 5 7 7 7 7 8 8 9 10 10 J J K K 2 2, J Q K A 2 
AI-random,0,5 8 8 9 J J 2 2, J Q K A 2 4 4 4 6 6 9 9 9 4 4 3 4 5 6 7 8 8 10 10 Q Q K K 2 2 A A A 5 5 7 7 7 7 
AI-random,0,8 8 J J 2, J Q K A 2 4 4 4 6 6 9 9 9 4 4 3 4 5 6 7 8 8 10 10 Q Q K K 2 2 A A A 5 5 7 7 7 7 3 7 9 J 2 
AI-random,1,J J, J Q K A 2 4 4 4 6 6 9 9 9 4 4 3 4 5 6 7 8 8 10 10 Q Q K K 2 2 A A A 5 5 7 7 7 7 3 7 9 J 2 5 10 2 
AI-origin,7,4 6 6 7 7 9 9 10 10 10 10 J J J J Q A A A 2 2 2, 
AI-origin,6,4 6 6 7 7 9 9 10 10 10 10 J J J J, 8 8 8 3 3 Q Q Q 4 4 2 2 2 4 Q 
AI-origin,0,6 6 7 7 9 9 10 10 10 10 J J J J, 8 8 8 3 3 Q Q Q 4 4 2 2 2 4 Q A A A 2 2 2 
AI-origin,1,7 7 9 9 10 10 10 10 J J J J, 8 8 8 3 3 Q Q Q 4 4 2 2 2 4 Q A A A 2 2 2 4 
AI-origin,1,9 9 10 10 10 10 J J J J, 8 8 8 3 3 Q Q Q 4 4 2 2 2 4 Q A A A 2 2 2 4 6 6 
AI-origin,1,10 10 10 10 J J J J, 8 8 8 3 3 Q Q Q 4 4 2 2 2 4 Q A A A 2 2 2 4 6 6 7 7 
AI-origin,5,J J J J, 8 8 8 3 3 Q Q Q 4 4 2 2 2 4 Q A A A 2 2 2 4 6 6 7 7 9 9 
AI-random,7,3 4 5 6 6 6 6 7 9 9 A A 2 2, 7 8 9 K A 10 10 10 J J J J J J Q Q Q 
AI-random,0,4 5 6 6 6 6 7 9 9 A A 2 2, 7 8 9 K A 10 10 10 J J J J J J Q Q Q 10 10 10 4 4 
AI-random,7,4 4 5 7 7 8 9 9 9 10 J J Q Q Q K A A A 2 2 2, 
AI-random,7,5 7 7 8 10 J J Q Q Q K A A A 2 2 2, 6 6 6 3 3 
AI-random,7,5 8 10 J J K A A A 2 2 2, 6 6 6 3 3 9 9 9 4 4 
AI-random,6,5 8 10 J J K, 6 6 6 3 3 9 9 9 4 4 Q Q Q 7 7 
AI-origin,7,3 5 5 6 6 7 7 8 8 9 9 9 9 10 10 Q Q Q K K K 2, 
AI-origin,7,3 7 7 8 8 9 9 9 9 10 10 2, 4 4 4 3 3 J J J 6 6 Q Q Q 5 5 
AI-origin,0,7 7 8 8 9 9 9 9 10 10 2, 4 4 4 3 3 J J J 6 6 Q Q Q 5 5 K K K 6 6 
AI-origin,1,8 8 9 9 9 9 10 10, 4 4 4 3 3 J J J 6 6 Q Q Q 5 5 K K K 6 6 3 5 2 
AI-origin,1,, 4 4 4 3 3 J J J 6 6 Q Q Q 5 5 K K K 6 6 3 5 2 7 7 8 8 10 10 2 2 Q A A A A K 3 3 3 4 4 9 9 9 9 
AI-origin,3,3 3 3 4 4 4 4 5 6 6 6 6 7 8 8 8 10 10 Q K 2 2, 
AI-origin,7,3 4 4 4 4 5 6 6 6 6 7 10 10 Q K 2 2, J Q K A 2 
AI-origin,0,4 4 4 4 5 6 6 6 6 10 10 Q K 2 2, J Q K A 2 8 8 8 3 3 K K K 3 3 5 7 
AI-origin,0,4 4 4 4 6 6 6 6 10 10 Q K 2 2, J Q K A 2 8 8 8 3 3 K K K 3 3 5 7 3 
AI-origin,1,4 4 4 4 6 6 6 6 Q K 2 2, J Q K A 2 8 8 8 3 3 K K K 3 3 5 7 3 5 
AI-origin,0,4 4 4 4 6 6 6 6 K, J Q K A 2 8 8 8 3 3 K K K 3 3 5 7 3 5 10 10 J J 2 2 
AI-origin,0,4 4 4 4 6 6 6 6, J Q K A 2 8 8 8 3 3 K K K 3 3 5 7 3 5 10 10 J J 2 2 Q 
AI-origin,5,6 6 6 6, J Q K A 2 8 8 8 3 3 K K K 3 3 5 7 3 5 10 10 J J 2 2 Q K 
AI-random,3,3 3 3 3 5 6 6 7 7 8 8 8 Q Q K K K K A A 2 2, 
AI-random,7,3 3 3 3 5 7 7 Q Q K K K K A A 2 2, 9 10 J Q K 
AI-random,3,3 3 4 4 5 5 6 6 8 8 10 10 10 J J J Q Q K A A 2, 
AI-random,7,4 4 5 5 6 6 8 8 J J J Q Q K A A 2, 5 6 7 8 9 
AI-random,7,5 5 6 6 8 8 Q Q K A A 2, 5 6 7 8 9 10 10 10 3 3 
AI-random,1,6 6 8 8 Q Q K A A 2, 5 6 7 8 9 10 10 10 3 3 J J J 4 4 
AI-random,2,3 6 7 7 7 8 8 9 9 9 10 10 K K K A 2 2, 5 6 7 8 9 10 10 J J 2 2 6 6 6 3 3 J J J J Q Q Q Q 
AI-random,2,3 8 8 9 9 9 10 10 2 2, 5 6 7 8 9 10 10 J J 2 2 6 6 6 3 3 J J J J Q Q Q Q 4 4 4 Q Q Q K K K A A A 3 6 K A 
AI-random,2,3 8 8 10 10 2 2, 5 6 7 8 9 10 10 J J 2 2 6 6 6 3 3 J J J J Q Q Q Q 4 4 4 Q Q Q K K K A A A 3 6 K A 7 7 7 
AI-random,0,8 8 10 10 2 2, 5 6 7 8 9 10 10 J J 2 2 6 6 6 3 3 J J J J Q Q Q Q 4 4 4 Q Q Q K K K A A A 3 6 K A 7 7 7 9 9 9 
AI-origin,7,4 4 5 5 5 5 8 9 9 9 9 J J Q Q Q 2 2, 6 6 10 10 J J K K 
AI-origin,7,9 9 9 9 2 2, 6 6 10 10 J J K K 6 6 6 3 3 Q Q Q 3 3 4 4 4 4 5 5 5 5 A A A A 3 8 K 2 2 2 2 7 7 J J 
AI-origin,1,9 9 9 9, 6 6 10 10 J J K K 6 6 6 3 3 Q Q Q 3 3 4 4 4 4 5 5 5 5 A A A A 3 8 K 2 2 2 2 7 7 J J Q Q Q 4 4 
AI-origin,5,, 6 6 10 10 J J K K 6 6 6 3 3 Q Q Q 3 3 4 4 4 4 5 5 5 5 A A A A 3 8 K 2 2 2 2 7 7 J J Q Q Q 4 4 2 2 
AI-origin,6,3 4 5 5 5 5 6 6 7 7 10 10 10 J J J Q Q 2 2, 4 A 
AI-origin,6,3 4 6 6 7 7 Q Q 2 2, 4 A 8 8 8 9 9 9 A A A 2 2 2 6 6 6 5 5 10 10 10 K K K 7 7 5 5 5 5 
AI-origin,0,4 6 6 7 7 Q Q 2 2, 4 A 8 8 8 9 9 9 A A A 2 2 2 6 6 6 5 5 10 10 10 K K K 7 7 5 5 5 5 10 10 10 J J J 
AI-origin,0,6 6 7 7 Q Q 2, 4 A 8 8 8 9 9 9 A A A 2 2 2 6 6 6 5 5 10 10 10 K K K 7 7 5 5 5 5 10 10 10 J J J 3 Q 2 
AI-origin,1,7 7 Q Q, 4 A 8 8 8 9 9 9 A A A 2 2 2 6 6 6 5 5 10 10 10 K K K 7 7 5 5 5 5 10 10 10 J J J 3 Q 2 4 8 2 
AI-origin,1,, 4 A 8 8 8 9 9 9 A A A 2 2 2 6 6 6 5 5 10 10 10 K K K 7 7 5 5 5 5 10 10 10 J J J 3 Q 2 4 8 2 6 6 9 9 Q Q 
AI-random,7,3 4 4 6 6 7 7 8 8 9 9 9 10 J J J K K, 8 8 Q Q A A 2 2 
AI-origin,7,3 5 5 6 6 7 8 9 9 10 10 10 10 Q K K A 2 2 2 2 2, 
AI-origin,0,5 5 6 6 7 8 9 9 10 10 10 10 Q K K A 2 2 2 2 2, J J J 4 4 
AI-origin,0,5 5 6 6 8 9 9 10 10 10 10 K K A 2 2 2 2 2, J J J 4 4 3 9 Q 
AI-origin,0,5 5 6 6 9 9 10 10 10 10 K K A 2 2 2 2 2, J J J 4 4 3 9 Q 7 
AI-origin,1,6 6 9 9 10 10 10 10 K K A 2 2 2 2 2, J J J 4 4 3 9 Q 7 8 
AI-origin,1,9 9 K K A 2 2 2 2 2, J J J 4 4 3 9 Q 7 8 5 5 K K 4 4 4 5 5 7 7 7 6 6 8 9 10 J Q 7 7 7 7 10 10 10 10 
AI-origin,1,K K A 2 2 2 2 2, J J J 4 4 3 9 Q 7 8 5 5 K K 4 4 4 5 5 7 7 7 6 6 8 9 10 J Q 7 7 7 7 10 10 10 10 6 6 
AI-origin,0,K K 2 2 2 2 2, J J J 4 4 3 9 Q 7 8 5 5 K K 4 4 4 5 5 7 7 7 6 6 8 9 10 J Q 7 7 7 7 10 10 10 10 6 6 9 9 
AI-origin,1,, J J J 4 4 3 9 Q 7 8 5 5 K K 4 4 4 5 5 7 7 7 6 6 8 9 10 J Q 7 7 7 7 10 10 10 10 6 6 9 9 A 2 2 2 2 2 2 
AI-random,7,3 5 5 6 7 7 8 8 8 9 9 10 J J, 6 6 6 6 K K K K A A A A 2 2 2 2 
AI-origin,6,3 4 5 6 6 6 6 7 7 7 8 8 Q Q Q Q K K A 2 2, 
AI-origin,2,3 4 5 6 6 6 6 8 8 Q Q Q Q K K A 2 2, 9 9 9 10 10 10 
AI-origin,0,4 5 6 6 6 6 8 8 Q Q Q Q K K A 2 2, 9 9 9 10 10 10 7 7 7 
AI-origin,0,6 6 6 6 8 8 Q Q Q Q 2 2, 9 9 9 10 10 10 7 7 7 3 4 5 7 A 2 9 9 K K 
AI-origin,1,2 2, 9 9 9 10 10 10 7 7 7 3 4 5 7 A 2 9 9 K K 4 Q 10 10 10 10 Q Q Q Q A A A A K 8 8 8 3 3 6 6 6 6 
AI-origin,3,4 4 5 6 6 6 6 9 10 10 10 10 J J J Q Q K A A 2 2, 
AI-origin,7,5 6 6 6 6 9 10 10 10 10 K A A 2 2, 3 4 5 6 7 4 5 6 7 8 10 10 Q Q 
AI-origin,0,6 6 6 6 9 10 10 10 10 K A A 2 2, 3 4 5 6 7 4 5 6 7 8 10 10 Q Q J J J 4 4 
AI-origin,0,6 6 6 6 10 10 10 10 K 2 2, 3 4 5 6 7 4 5 6 7 8 10 10 Q Q J J J 4 4 5 K J J A A 
AI-origin,0,6 6 6 6 10 10 10 10 2 2, 3 4 5 6 7 4 5 6 7 8 10 10 Q Q J J J 4 4 5 K J J A A 9 
AI-origin,1,6 6 6 6 10 10 10 10, 3 4 5 6 7 4 5 6 7 8 10 10 Q Q J J J 4 4 5 K J J A A 9 K 
AI-origin,5,10 10 10 10, 3 4 5 6 7 4 5 6 7 8 10 10 Q Q J J J 4 4 5 K J J A A 9 K 2 2 
AI-random,3,3 3 5 5 5 5 6 6 7 10 J 2 2 2 2 2 2, 3 3 3 3 3 8 8 8 8 8 
AI-random,0,3 3 5 5 5 5 6 6 10 J 2 2 2 2 2 2, 3 3 3 3 3 8 8 8 8 8 9 10 J Q K 
AI-random,0,3 3 5 5 5 5 6 6 2 2 2 2, 3 3 3 3 3 8 8 8 8 8 9 10 J Q K 7 10 J Q 9 9 9 5 5 K 2 4 4 4 4 4 6 6 2 2 
AI-random,1,5 5 5 5 6 6 2 2 2 2, 3 3 3 3 3 8 8 8 8 8 9 10 J Q K 7 10 J Q 9 9 9 5 5 K 2 4 4 4 4 4 6 6 2 2 10 
AI-random,7,4 5 5 6 6 7 7 10 10 10 10 J J Q Q K K K A 2 2 2, 
AI-random,0,7 7 10 10 10 10 J J Q Q A, 9 9 9 3 3 J J J 5 5 K K K 5 5 A A A 8 8 2 2 2 6 6 
AI-random,1,10 10 10 10 J J Q Q, 9 9 9 3 3 J J J 5 5 K K K 5 5 A A A 8 8 2 2 2 6 6 4 10 A 
AI-origin,3,6 6 6 6 8 8 9 9 9 10 10 Q Q Q Q K K 2 2 2, 9 9 9 3 3 A A A 4 4 6 J Q A 
AI-origin,2,6 6 6 6 8 8 10 10 Q Q Q Q K K 2 2 2, 9 9 9 3 3 A A A 4 4 6 J Q A 3 4 5 6 7 
AI-origin,2,6 6 6 6 8 8 10 10 Q Q Q Q K K, 9 9 9 3 3 A A A 4 4 6 J Q A 3 4 5 6 7 9 9 9 
AI-origin,1,6 6 6 6 10 10 Q Q Q Q K K, 9 9 9 3 3 A A A 4 4 6 J Q A 3 4 5 6 7 9 9 9 2 2 2 
AI-origin,5,Q Q Q Q, 9 9 9 3 3 A A A 4 4 6 J Q A 3 4 5 6 7 9 9 9 2 2 2 8 8 J J K K 2 2 8 8 10 10 
