winner,winner score,loser score,strategy,opponent,hand,length
AI-origin,308,316,"[3, 3, 0, 0, 0, 3, 0, 0]","[2, 0, 1, 0, 0, 0, 0, 1]",3 4 4 4 4 5 9 10 10 J J Q Q Q Q K K K K A A,17,pass
AI-origin,308,316,"[3, 3, 0, 0, 0, 3, 0, 0]","[3, 0, 1, 0, 0, 0, 0, 1]",3 4 4 4 4 5 9 10 10 J J Q Q Q Q K K K K A A,16,best
AI-origin,308,316,"[2, 3, 0, 0, 0, 3, 0, 0]","[3, 0, 1, 0, 0, 1, 0, 1]",3 4 4 4 4 5 10 10 J J Q Q Q Q K K K K A A,12,best
AI-origin,308,316,"[2, 3, 0, 0, 0, 2, 0, 0]","[3, 0, 1, 0, 0, 2, 0, 1]",3 4 4 4 4 5 10 10 J J K K K K A A,8,best
AI-origin,308,316,"[0, 2, 0, 0, 0, 1, 0, 0]","[3, 1, 1, 0, 0, 2, 0, 1]",4 4 4 4 J J A A,6,best
AI-origin,308,316,"[0, 1, 0, 0, 0, 1, 0, 0]","[3, 2, 1, 0, 0, 2, 0, 1]",4 4 4 4 J J,4,best
tree-v4,283,305,"[3, 5, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1]",5 6 6 7 8 8 8 9 9 J J Q Q K A A A A A A 2 2,22,best
tree-v4,283,305,"[3, 5, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 2]",5 7 9 9 J J Q Q K A A A A A A 2 2,17,pass
tree-v4,283,305,"[3, 5, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 3]",5 7 9 9 J J Q Q K A A A A A A 2 2,12,pass
tree-v4,283,305,"[3, 5, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 3]",5 7 9 9 J J Q Q K A A A A A A 2 2,11,best
tree-v4,283,305,"[2, 5, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 3]",5 9 9 J J Q Q K A A A A A A 2 2,10,best
tree-v4,283,305,"[1, 5, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 0, 0, 1, 0, 3]",5 9 9 J J Q Q A A A A A A 2 2,5,best
tree-v4,283,305,"[0, 4, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 1, 0, 3]",9 9 J J Q Q 2 2,4,best
tree-v4,283,305,"[1, 3, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 1, 0, 3]",9 J J Q Q 2 2,3,best
tree-v4,283,305,"[1, 3, 0, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 1, 0, 3]",9 J J Q Q 2 2,2,best
AI-origin,295,311,"[4, 5, 0, 0, 0, 2, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1]",3 3 4 5 5 6 6 7 7 7 7 8 8 8 9 10 10 J J Q Q Q Q K K A 2,22,pass
AI-origin,295,311,"[4, 5, 0, 0, 0, 2, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 2]",3 3 4 5 5 6 6 7 7 7 7 8 8 8 9 10 10 J J Q Q Q Q K K A 2,17,pass
AI-origin,295,311,"[4, 5, 0, 0, 0, 2, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 3]",3 3 4 5 5 6 6 7 7 7 7 8 8 8 9 10 10 J J Q Q Q Q K K A 2,12,pass
AI-origin,295,311,"[4, 5, 0, 0, 0, 2, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 3]",3 3 4 5 5 6 6 7 7 7 7 8 8 8 9 10 10 J J Q Q Q Q K K A 2,11,best
AI-origin,295,311,"[2, 5, 0, 0, 0, 2, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 3]",5 5 6 6 7 7 7 7 10 10 J J Q Q Q Q K K A 2,10,best
AI-origin,295,311,"[1, 4, 0, 0, 0, 2, 0, 0]","[2, 1, 0, 0, 0, 0, 0, 3]",6 6 7 7 7 7 10 10 J J Q Q Q Q K K 2,8,best
AI-origin,295,311,"[1, 2, 0, 0, 0, 2, 0, 0]","[2, 2, 0, 0, 0, 0, 0, 3]",7 7 7 7 10 10 J J Q Q Q Q 2,6,best
AI-origin,295,311,"[1, 1, 0, 0, 0, 1, 0, 0]","[2, 3, 0, 0, 0, 0, 0, 3]",J J Q Q Q Q 2,4,best
tree-v4,300,284,"[2, 3, 0, 1, 0, 1, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 1]",3 3 4 4 4 5 5 5 6 6 7 7 8 9 9 10 10 10 10 J Q K A A A 2 2,22,pass
tree-v4,300,284,"[2, 3, 0, 1, 0, 1, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 2]",3 3 4 4 4 5 5 5 6 6 7 7 8 9 9 10 10 10 10 J Q K A A A 2 2,17,pass
tree-v4,300,284,"[2, 3, 0, 1, 0, 1, 0, 2]","[1, 0, 0, 0, 0, 0, 0, 2]",3 3 4 4 4 5 5 5 6 6 7 7 8 9 9 10 10 10 10 J Q K A A A 2 2,16,best
tree-v4,300,284,"[1, 3, 0, 1, 0, 1, 0, 2]","[2, 0, 0, 0, 0, 0, 0, 2]",3 3 4 4 4 5 5 5 6 6 7 7 9 9 10 10 10 10 J Q K A A A 2 2,15,best
tree-v4,300,284,"[0, 3, 0, 1, 0, 1, 0, 2]","[2, 0, 0, 0, 0, 1, 0, 2]",3 3 4 4 4 5 5 5 6 6 7 7 9 9 10 10 10 10 J Q K A A A 2,10,pass
tree-v4,300,284,"[0, 3, 0, 1, 0, 1, 0, 2]","[3, 0, 0, 0, 0, 1, 0, 2]",3 3 4 4 4 5 5 5 6 6 7 7 9 9 10 10 10 10 J Q K A A A 2,9,pass
tree-v4,300,284,"[0, 3, 0, 1, 0, 1, 0, 2]","[4, 0, 0, 0, 0, 1, 0, 2]",3 3 4 4 4 5 5 5 6 6 7 7 9 9 10 10 10 10 J Q K A A A 2,8,pass
tree-v4,300,284,"[0, 3, 0, 1, 0, 1, 0, 2]","[4, 1, 0, 0, 0, 1, 0, 2]",3 3 4 4 4 5 5 5 6 6 7 7 9 9 10 10 10 10 J Q K A A A 2,6,pass
tree-v4,300,284,"[0, 2, 0, 1, 0, 1, 0, 2]","[4, 2, 0, 0, 0, 1, 0, 2]",3 3 4 4 4 5 5 5 6 6 7 7 9 9 10 10 10 10 J Q K A 2,4,pass
tree-v4,300,284,"[0, 1, 0, 0, 0, 0, 0, 0]","[4, 3, 0, 0, 0, 1, 0, 2]",9 9,2,pass
tree-v4,311,296,"[4, 3, 0, 0, 0, 3, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1]",3 3 4 4 4 5 5 5 5 6 6 7 8 9 10 10 10 10 J J J J Q Q K K 2,22,pass
tree-v4,311,296,"[4, 3, 0, 0, 0, 3, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 1]",3 3 4 4 4 5 5 5 5 6 6 7 8 9 10 10 10 10 J J J J Q Q K K 2,21,best
tree-v4,311,296,"[3, 3, 0, 0, 0, 3, 0, 1]","[2, 0, 0, 0, 0, 0, 0, 1]",3 3 4 4 4 5 5 5 5 6 6 8 9 10 10 10 10 J J J J Q Q K K 2,20,best
tree-v4,311,296,"[1, 3, 0, 0, 0, 3, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 1]",5 5 5 5 6 6 9 10 10 10 10 J J J J Q Q K K,19,pass
tree-v4,311,296,"[1, 3, 0, 0, 0, 3, 0, 0]","[3, 1, 0, 0, 0, 0, 0, 1]",5 5 5 5 6 6 9 10 10 10 10 J J J J Q Q K K,17,best
tree-v4,311,296,"[1, 2, 0, 0, 0, 3, 0, 0]","[3, 2, 0, 0, 0, 0, 0, 1]",5 5 5 5 9 10 10 10 10 J J J J Q Q K K,15,best
tree-v4,311,296,"[1, 1, 0, 0, 0, 3, 0, 0]","[3, 3, 0, 0, 0, 0, 0, 1]",5 5 5 5 9 10 10 10 10 J J J J K K,13,pass
tree-v4,311,296,"[1, 1, 0, 0, 0, 3, 0, 0]","[3, 4, 0, 0, 0, 0, 0, 1]",5 5 5 5 9 10 10 10 10 J J J J K K,11,best
tree-v4,311,296,"[1, 0, 0, 0, 0, 3, 0, 0]","[3, 5, 0, 0, 0, 0, 0, 1]",5 5 5 5 9 10 10 10 10 J J J J,9,pass
tree-v4,311,296,"[1, 0, 0, 0, 0, 3, 0, 0]","[3, 5, 0, 0, 0, 1, 0, 1]",5 5 5 5 9 10 10 10 10 J J J J,5,pass
tree-v4,301,291,"[2, 2, 0, 0, 1, 0, 0, 3]","[0, 0, 0, 1, 0, 0, 0, 0]",3 3 3 4 4 5 5 6 7 7 8 9 9 10 10 J J Q Q K K K A A 2 2 2,22,pass
tree-v4,301,291,"[2, 2, 0, 0, 1, 0, 0, 3]","[0, 0, 0, 1, 1, 0, 0, 0]",3 3 3 4 4 5 5 6 7 7 8 9 9 10 10 J J Q Q K K K A A 2 2 2,16,best
tree-v4,301,291,"[2, 2, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 1, 2, 0, 0, 0]",3 3 3 4 4 5 5 6 7 7 8 9 9 K K K A A 2 2 2,10,pass
tree-v4,301,291,"[2, 2, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 1, 2, 0, 0, 1]",3 3 3 4 4 5 5 6 7 7 8 9 9 K K K A A 2 2 2,5,pass
tree-v4,301,291,"[2, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 2, 1, 0, 1]",6 8 9 9 A A,1,pass
tree-v4,278,297,"[2, 2, 0, 0, 0, 0, 1, 3]","[0, 0, 0, 1, 0, 0, 0, 0]",3 3 5 5 6 6 6 7 7 7 8 8 9 9 10 J J J Q Q K K K A 2 2 2,22,pass
tree-v4,278,297,"[2, 2, 0, 0, 0, 0, 1, 3]","[0, 0, 0, 1, 0, 0, 0, 1]",3 3 5 5 6 6 6 7 7 7 8 8 9 9 10 J J J Q Q K K K A 2 2 2,17,best
tree-v4,278,297,"[2, 2, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 1, 0, 1, 0, 1]",5 5 6 6 6 7 7 7 9 9 10 Q Q K K K A,13,pass
tree-v4,278,297,"[2, 2, 0, 0, 0, 0, 1, 1]","[1, 0, 0, 1, 0, 1, 0, 1]",5 5 6 6 6 7 7 7 9 9 10 Q Q K K K A,12,best
tree-v4,278,297,"[1, 2, 0, 0, 0, 0, 1, 1]","[1, 0, 0, 1, 0, 2, 0, 1]",5 5 6 6 6 7 7 7 9 9 Q Q K K K A,7,best
tree-v4,278,297,"[1, 2, 0, 0, 0, 0, 1, 1]","[2, 0, 0, 1, 0, 2, 0, 1]",5 5 6 6 6 7 7 7 9 9 Q Q K K K A,6,best
tree-v4,278,297,"[0, 2, 0, 0, 0, 0, 1, 1]","[3, 0, 0, 1, 0, 2, 0, 1]",5 5 6 6 6 7 7 7 9 9 Q Q K K K,5,best
tree-v4,278,297,"[0, 2, 0, 0, 0, 0, 1, 1]","[4, 0, 0, 1, 0, 2, 0, 1]",5 5 6 6 6 7 7 7 9 9 Q Q K K K,4,best
tree-v4,278,297,"[0, 2, 0, 0, 0, 0, 1, 1]","[5, 0, 0, 1, 0, 2, 0, 1]",5 5 6 6 6 7 7 7 9 9 Q Q K K K,3,best
tree-v4,278,297,"[0, 2, 0, 0, 0, 0, 1, 1]","[6, 0, 0, 1, 0, 2, 0, 1]",5 5 6 6 6 7 7 7 9 9 Q Q K K K,2,best
tree-v4,348,270,"[2, 2, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1]",3 5 5 5 5 5 7 7 Q 2 2,22,pass
tree-v4,348,270,"[2, 2, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1]",3 5 5 5 5 5 7 7 Q 2 2,21,best
tree-v4,348,270,"[1, 2, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 1]",3 5 5 5 5 5 7 7 2 2,17,best
tree-v4,348,270,"[0, 2, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 1, 0, 1]",7 7 2 2,16,pass
tree-v4,348,270,"[0, 2, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 1, 0, 1]",7 7 2 2,15,pass
tree-v4,348,270,"[0, 2, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 1, 0, 1, 0, 1]",7 7 2 2,10,pass
tree-v4,348,270,"[0, 2, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 1, 0, 2, 0, 1]",7 7 2 2,6,pass
AI-origin,293,273,"[2, 6, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1]",3 4 4 4 4 6 6 8 8 8 8 8 8 9 9 Q Q K K A 2 2,22,pass
AI-origin,293,273,"[2, 6, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 1]",3 4 4 4 4 6 6 8 8 8 8 8 8 9 9 Q Q K K A 2 2,17,pass
AI-origin,293,273,"[2, 6, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 2]",3 4 4 4 4 6 6 8 8 8 8 8 8 9 9 Q Q K K A 2 2,12,pass
AI-origin,293,273,"[2, 6, 0, 0, 0, 2, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 2]",3 4 4 4 4 6 6 8 8 8 8 8 8 9 9 Q Q K K A 2 2,11,best
AI-origin,293,273,"[1, 6, 0, 0, 0, 2, 0, 0]","[1, 0, 0, 1, 0, 1, 0, 2]",3 4 4 4 4 6 6 8 8 8 8 8 8 9 9 Q Q K K 2 2,7,best
AI-origin,293,273,"[0, 6, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 1, 0, 1, 0, 2]",4 4 4 4 6 6 8 8 9 9 Q Q K K 2 2,6,best
AI-origin,293,273,"[0, 5, 0, 0, 0, 0, 0, 0]","[2, 1, 0, 1, 0, 1, 0, 2]",8 8 9 9 Q Q K K 2 2,4,best
tree-v4,352,292,"[4, 2, 0, 0, 0, 2, 0, 2]","[0, 0, 1, 0, 0, 0, 0, 0]",3 3 4 4 4 4 4 5 5 6 7 9 9 9 10 10 10 10 J J J Q Q K A 2 2,24,pass
tree-v4,352,292,"[4, 2, 0, 0, 0, 2, 0, 2]","[1, 0, 1, 0, 0, 0, 0, 0]",3 3 4 4 4 4 4 5 5 6 7 9 9 9 10 10 10 10 J J J Q Q K A 2 2,23,best
tree-v4,352,292,"[3, 2, 0, 0, 0, 2, 0, 2]","[2, 0, 1, 0, 0, 0, 0, 0]",3 3 4 4 4 4 4 5 5 7 9 9 9 10 10 10 10 J J J Q Q K A 2 2,22,best
tree-v4,352,292,"[2, 2, 0, 0, 0, 2, 0, 2]","[3, 0, 1, 0, 0, 0, 0, 0]",3 3 4 4 4 4 4 5 5 7 9 9 9 10 10 10 10 J J J Q Q A 2 2,21,pass
tree-v4,352,292,"[2, 2, 0, 0, 0, 2, 0, 2]","[4, 0, 1, 0, 0, 0, 0, 0]",3 3 4 4 4 4 4 5 5 7 9 9 9 10 10 10 10 J J J Q Q A 2 2,20,best
tree-v4,352,292,"[1, 2, 0, 0, 0, 2, 0, 2]","[5, 0, 1, 0, 0, 0, 0, 0]",3 3 4 4 4 4 4 5 5 9 9 9 10 10 10 10 J J J Q Q A 2 2,19,best
tree-v4,352,292,"[0, 2, 0, 0, 0, 2, 0, 1]","[5, 0, 1, 0, 0, 1, 0, 0]",4 4 4 4 4 5 5 10 10 10 10 J J J Q Q 2 2,15,best
tree-v4,352,292,"[0, 2, 0, 0, 0, 1, 0, 0]","[5, 0, 1, 0, 0, 2, 0, 0]",10 10 10 10 Q Q 2 2,11,pass
tree-v4,352,292,"[0, 2, 0, 0, 0, 1, 0, 0]","[6, 0, 1, 0, 0, 2, 0, 0]",10 10 10 10 Q Q 2 2,10,pass
tree-v4,352,292,"[0, 2, 0, 0, 0, 1, 0, 0]","[6, 1, 1, 0, 0, 2, 0, 0]",10 10 10 10 Q Q 2 2,8,best
tree-v4,352,292,"[0, 1, 0, 0, 0, 1, 0, 0]","[6, 1, 1, 0, 0, 3, 0, 0]",10 10 10 10 Q Q,4,best
AI-origin,305,270,"[3, 3, 0, 0, 0, 2, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1]",6 6 7 8 8 8 8 9 9 9 10 10 10 10 J Q Q K K A 2 2,22,best
AI-origin,305,270,"[2, 3, 0, 0, 0, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1]",8 8 8 8 10 10 10 10 J Q Q K K A 2 2,21,best
AI-origin,305,270,"[0, 3, 0, 0, 0, 2, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 1]",8 8 8 8 10 10 10 10 Q Q K K 2 2,20,pass
AI-origin,305,270,"[0, 3, 0, 0, 0, 2, 0, 0]","[2, 1, 0, 0, 0, 0, 0, 1]",8 8 8 8 10 10 10 10 Q Q K K 2 2,18,best
AI-origin,305,270,"[0, 2, 0, 0, 0, 2, 0, 0]","[2, 2, 0, 0, 0, 0, 0, 1]",8 8 8 8 10 10 10 10 K K 2 2,16,pass
AI-origin,305,270,"[0, 2, 0, 0, 0, 2, 0, 0]","[2, 3, 0, 0, 0, 0, 0, 1]",8 8 8 8 10 10 10 10 K K 2 2,14,best
AI-origin,305,270,"[0, 0, 0, 0, 0, 1, 0, 0]","[2, 3, 0, 0, 0, 1, 0, 1]",10 10 10 10,10,pass
AI-origin,305,270,"[0, 0, 0, 0, 0, 1, 0, 0]","[2, 4, 0, 0, 0, 1, 0, 1]",10 10 10 10,8,pass
tree-v4,309,279,"[3, 5, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1]",3 4 4 4 5 5 5 6 7 7 7 8 8 9 10 10 J J J J Q Q Q K K A 2,22,best
tree-v4,309,279,"[3, 5, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 1]",3 4 5 5 5 6 7 7 7 8 8 9 10 10 J J J J K K A 2,18,best
tree-v4,309,279,"[3, 5, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 2, 0, 1]",3 4 5 5 5 6 7 7 7 8 8 9 10 10 K K A 2,14,pass
tree-v4,309,279,"[3, 5, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 2, 0, 2]",3 4 5 5 5 6 7 7 7 8 8 9 10 10 K K A 2,9,pass
tree-v4,309,279,"[3, 5, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 2, 0, 2]",3 4 5 5 5 6 7 7 7 8 8 9 10 10 K K A 2,8,best
tree-v4,309,279,"[1, 5, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 2, 0, 2]",5 5 7 7 8 8 10 10 K K 2,7,best
tree-v4,309,279,"[0, 4, 0, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 2, 0, 2]",7 7 8 8 10 10 K K,5,best
tree-v4,309,279,"[0, 3, 0, 0, 0, 0, 0, 0]","[2, 2, 0, 0, 0, 2, 0, 2]",7 7 8 8 K K,3,best
tree-v4,309,279,"[0, 3, 0, 0, 0, 0, 0, 0]","[3, 2, 0, 0, 0, 2, 0, 2]",7 7 8 8 K K,2,best
tree-v4,309,279,"[1, 2, 0, 0, 0, 0, 0, 0]","[4, 2, 0, 0, 0, 2, 0, 2]",7 7 8 8 K,1,best
tree-v4,311,292,"[4, 2, 0, 0, 0, 2, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1]",3 4 5 5 5 5 6 6 6 6 8 9 9 10 Q Q Q K K K A A,22,pass
tree-v4,311,292,"[4, 2, 0, 0, 0, 2, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 1]",3 4 5 5 5 5 6 6 6 6 8 9 9 10 Q Q Q K K K A A,17,pass
tree-v4,311,292,"[4, 2, 0, 0, 0, 2, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 2]",3 4 5 5 5 5 6 6 6 6 8 9 9 10 Q Q Q K K K A A,12,pass
tree-v4,311,292,"[4, 2, 0, 0, 0, 2, 1, 0]","[1, 0, 0, 1, 0, 0, 0, 2]",3 4 5 5 5 5 6 6 6 6 8 9 9 10 Q Q Q K K K A A,11,best
tree-v4,311,292,"[3, 2, 0, 0, 0, 2, 1, 0]","[2, 0, 0, 1, 0, 0, 0, 2]",3 4 5 5 5 5 6 6 6 6 8 9 9 Q Q Q K K K A A,10,pass
tree-v4,311,292,"[3, 2, 0, 0, 0, 2, 1, 0]","[3, 0, 0, 1, 0, 0, 0, 2]",3 4 5 5 5 5 6 6 6 6 8 9 9 Q Q Q K K K A A,9,pass
tree-v4,311,292,"[3, 2, 0, 0, 0, 2, 1, 0]","[4, 0, 0, 1, 0, 0, 0, 2]",3 4 5 5 5 5 6 6 6 6 8 9 9 Q Q Q K K K A A,8,pass
tree-v4,311,292,"[3, 2, 0, 0, 0, 2, 1, 0]","[4, 0, 0, 1, 0, 1, 0, 2]",3 4 5 5 5 5 6 6 6 6 8 9 9 Q Q Q K K K A A,4,pass
tree-v4,310,276,"[4, 1, 0, 0, 1, 1, 0, 2]","[0, 0, 0, 1, 0, 0, 0, 0]",3 4 4 5 5 5 6 6 6 6 6 7 7 8 9 9 10 10 J J Q Q Q K A A A,22,pass
tree-v4,310,276,"[4, 1, 0, 0, 1, 1, 0, 2]","[0, 0, 0, 1, 0, 0, 0, 1]",3 4 4 5 5 5 6 6 6 6 6 7 7 8 9 9 10 10 J J Q Q Q K A A A,17,best
tree-v4,310,276,"[4, 1, 0, 0, 1, 1, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 2]",3 5 5 5 6 6 6 6 6 7 7 8 9 9 10 10 J J K A A A,12,best
tree-v4,310,276,"[4, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 2]",3 5 6 6 6 6 6 7 7 8 K,8,best
tree-v4,310,276,"[3, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 1, 0, 2]",5 7 7 8 K,7,best
tree-v4,310,276,"[2, 1, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 1, 0, 1, 0, 2]",5 7 7 K,6,best
tree-v4,310,276,"[0, 1, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 1, 0, 1, 0, 2]",7 7,5,best
tree-v4,310,276,"[0, 1, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 1, 0, 1, 0, 2]",7 7,4,best
tree-v4,310,276,"[0, 1, 0, 0, 0, 0, 0, 0]","[4, 1, 0, 1, 0, 1, 0, 2]",7 7,2,best
AI-origin,292,331,"[3, 2, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 1]",3 3 4 5 6 6 7 7 7 8 8 8 9 9 9 9 Q A A 2 2 2,22,best
AI-origin,292,331,"[3, 2, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 1]",4 5 6 6 9 9 9 9 Q A A,16,pass
AI-origin,292,331,"[3, 2, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 1]",4 5 6 6 9 9 9 9 Q A A,13,pass
AI-origin,292,331,"[3, 2, 0, 0, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 1, 1]",4 5 6 6 9 9 9 9 Q A A,12,best
AI-origin,292,331,"[2, 2, 0, 0, 0, 1, 0, 0]","[2, 0, 1, 0, 0, 0, 1, 1]",4 6 6 9 9 9 9 Q A A,11,best
AI-origin,292,331,"[1, 2, 0, 0, 0, 1, 0, 0]","[2, 0, 1, 0, 0, 1, 1, 1]",4 6 6 9 9 9 9 A A,7,best
AI-origin,292,331,"[1, 2, 0, 0, 0, 1, 0, 0]","[3, 0, 1, 0, 0, 1, 1, 1]",4 6 6 9 9 9 9 A A,6,best
AI-origin,292,331,"[0, 2, 0, 0, 0, 0, 0, 0]","[4, 0, 1, 0, 0, 1, 1, 1]",6 6 A A,5,best
AI-origin,292,331,"[1, 0, 0, 0, 0, 0, 0, 0]","[4, 1, 1, 0, 0, 1, 1, 1]",A,3,best
AI-origin,292,331,"[1, 0, 0, 0, 0, 0, 0, 0]","[5, 1, 1, 0, 0, 1, 1, 1]",A,2,best
AI-origin,308,289,"[5, 0, 0, 0, 0, 3, 0, 2]","[1, 0, 0, 0, 0, 0, 0, 0]",3 3 3 4 5 6 6 7 7 7 7 8 8 8 9 9 9 9 Q Q Q Q K K K A 2,26,best
AI-origin,308,289,"[4, 0, 0, 0, 0, 3, 0, 2]","[1, 0, 0, 0, 0, 1, 0, 0]",3 3 3 5 6 6 7 7 7 7 8 8 8 9 9 9 9 Q Q Q Q K K K A 2,22,best
AI-origin,308,289,"[4, 0, 0, 0, 0, 2, 0, 2]","[1, 0, 0, 0, 0, 2, 0, 0]",3 3 3 5 6 6 8 8 8 9 9 9 9 Q Q Q Q K K K A 2,18,best
AI-origin,307,259,"[1, 3, 0, 0, 1, 1, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 1]",3 3 3 4 4 4 6 6 7 7 9 9 10 10 10 10 J J Q Q K K A A 2 2 2,22,best
AI-origin,307,259,"[1, 3, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 2]",3 7 7 9 9 10 10 10 10 J J,17,pass
AI-origin,307,259,"[1, 3, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 2]",3 7 7 9 9 10 10 10 10 J J,16,pass
